(0-4.3) V-C,(0-4.3) C,(0-4.3) V-R,(0-4.3) R,(2-4.3) V-C,(2-4.3) C,(2-4.3) V-R,(2-4.3) R,(4-4.3) V-C,(4-4.3) C,(4-4.3) V-R,(4-4.3) R,(6-4.3) V-C,(6-4.3) C,(6-4.3) V-R,(6-4.3) R,(10-4.3) V-C,(10-4.3) C,(10-4.3) V-R,(10-4.3) R,(15-4.3) V-C,(15-4.3) C,(15-4.3) V-R,(15-4.3) R,(25-4.3) V-C,(25-4.3) C,(25-4.3) V-R,(25-4.3) R
2.154099621,50.82370907,2.369514514,-49.34105663,2.576501911,33.60791795,2.361796831,-24.29983535,5.797127253,21.08733716,4.508880392,-11.77925457,4.079462042,11.69685679,4.294167122,-8.649094445,5.367708902,11.69685679,5.367708902,-8.649094445,5.797127253,8.566696673,6.011840523,-7.084044236,4.079462042,5.436596253,4.294167122,-7.084044236
4.092792568,99.3410417,4.954435703,-100.9884897,7.729505734,49.25865886,8.588334244,-50.90610684,11.80895959,39.86817849,9.876589295,-25.86488556,10.30600764,28.91270762,10.95013107,-19.60462502,10.7354178,21.08733716,11.37954943,-14.90941469,12.23837794,21.08733716,14.60017477,-16.4744649,10.7354178,16.39206713,11.37954943,-10.21414466
6.677713757,150.9884748,7.323942,-149.505882,18.25021027,99.3410417,24.69146095,-96.29321965,18.67962862,58.64907952,16.10312671,-36.82041614,17.17666849,39.86817849,16.74725833,-27.42999548,18.25021027,28.91270762,19.10904697,-19.60462502,20.6120071,22.65238737,21.25613053,-16.4744649,20.39729383,21.08733716,21.25613053,-14.90941469
8.831813378,199.5057477,9.908863189,-201.1531957,24.90617422,141.5979944,36.71513381,-149.505882,24.90617422,75.86493034,24.90617422,-50.90610684,24.04733752,49.25865886,23.61791917,-35.25536593,26.62383943,33.60791795,27.48267613,-24.29983535,29.20034134,27.3475977,30.27388312,-19.60462502,33.06509011,24.21743758,30.4885882,-13.34430478
10.985913,251.1531509,12.27836949,-249.6705283,36.50042054,199.5057477,49.81234025,-210.543676,31.13271163,99.3410417,36.92983889,-79.07754794,34.35333697,68.03955989,31.3474249,-44.64578659,35.42687876,44.56344852,36.71513381,-32.12520581,37.35925724,30.47775783,39.93575915,-25.86488556,43.80050792,27.3475977,42.29754779,-16.4744649
24.98756054,307.4958838,24.77214565,-276.2767998,49.81234025,266.8038918,70.8537657,-249.6705283,43.80050792,149.4233648,49.81234025,-110.3790298,43.15638449,85.255351,39.93575915,-58.73147729,49.81234025,58.64907952,49.81234025,-41.51568617,46.37700983,35.17296816,50.24176679,-28.99504569,55.82418077,30.47775783,54.10650737,-19.60462502
49.97511286,332.5370454,49.97511286,-312.2734322,74.71850628,305.9307441,74.71850628,-257.4958988,49.81234025,174.4645861,64.19780994,-151.0708128,53.67709721,108.7314624,47.02113326,-68.12189796,62.26543146,77.42998055,66.3448935,-58.73147729,55.82418077,39.86817849,59.68892136,-33.69025602,68.92138722,36.73807807,68.06255052,-24.29983535
74.96266518,356.0131568,74.96266518,-326.3591229,99.83939377,340.3624159,99.83939377,-302.8830116,74.71850628,241.7627601,72.78614418,-176.1120341,50.24176679,99.3410417,53.24767067,-79.07754794,72.35671764,94.64577167,78.15385308,-69.68700787,63.7683834,46.12849873,70.8537657,-41.51568617,80.94505188,39.86817849,85.02451393,-30.5601556
100.1656406,379.4892681,100.1656406,-340.4448136,124.7455598,362.273477,124.7455598,-318.5337525,59.04480612,199.5057477,79.22739486,-194.8929351,63.7683834,138.467894,59.47421628,-93.16311923,83.09213545,110.2965126,91.03635445,-82.20758865,73.6449645,57.08402931,78.79796832,-46.21089651,92.32460131,42.99833861,100.6982305,-33.69025602
125.1531929,398.2701692,125.1531929,-351.4002845,149.6517258,385.7495884,149.6517258,-332.6194432,90.60692791,284.0197725,88.45984435,-219.9342161,73.43025942,166.6392157,65.27135172,-107.2487502,93.82755325,129.0774136,101.3423457,-93.16311923,83.95097215,66.47444997,91.89517477,-50.90610684,100.2688039,47.69354894,114.6542736,-41.51568617
150.1407453,417.0510702,150.1407453,-363.920925,174.7726133,399.8351895,174.5578919,-345.1400837,100.0540989,310.6260141,98.76585199,-249.6705283,83.95097215,197.9406975,74.5038012,-129.1598114,102.2011824,141.5979944,115.0836838,-111.9439606,98.76585199,77.42998055,104.5629711,-60.2965275,112.2924686,53.95386919,127.1073484,-44.64578659
175.3437207,429.571651,175.3437207,-374.8763959,199.6787794,413.9209101,199.6787794,-356.0955546,115.5130939,326.276755,106.0659394,-262.1911091,95.75993173,232.3723096,80.94505188,-143.2454424,112.7218951,163.5090555,129.0397269,-132.2899715,109.5012698,89.95056134,115.7278154,-68.12189796,123.0278864,58.64907952,139.9898498,-49.34105663
