(0-4.3) V-C,(0-4.3) C,(0-4.3) V-R,(0-4.3) R,(2-4.3) V-C,(2-4.3) C,(2-4.3) V-R,(2-4.3) R,(4-4.3) V-C,(4-4.3) C,(4-4.3) V-R,(4-4.3) R,(6-4.3) V-C,(6-4.3) C,(6-4.3) V-R,(6-4.3) R,(10-4.3) V-C,(10-4.3) C,(10-4.3) V-R,(10-4.3) R,(15-4.3) V-C,(15-4.3) C,(15-4.3) V-R,(15-4.3) R,(25-4.3) V-C,(25-4.3) C,(25-4.3) V-R,(25-4.3) R
200.5466961,440.5271816,200.5466961,-385.8319862,224.5849618,428.0065709,224.7996505,-367.0510254,124.7455598,332.5370454,118.089604,-273.1466397,102.4158875,251.1531509,87.81572911,-158.8961833,121.7396395,183.8550068,144.9281486,-154.200973,124.7455598,107.1664122,124.3161496,-74.3822182,133.5485991,63.34428985,150.7252676,-55.60143658
225.534232,453.0477623,225.3188418,-396.787457,249.7058329,442.0922318,249.7058329,-379.5716659,140.4192764,348.1877863,130.3279738,-285.6672205,116.1572256,269.9341116,95.97463681,-177.6770843,133.333894,207.3311181,159.7430284,-172.9819934,132.0456472,116.5568328,134.1927307,-80.64247874,146.4311005,71.16966031,162.5342272,-57.16642708
250.5218008,464.0032929,250.5218008,-407.7430473,,,,,149.6517258,357.5782368,144.2840169,-299.7529112,127.7514801,287.1499028,102.4158875,-191.762775,145.7869853,233.9373896,170.4784462,-185.5024548,140.4192764,125.9472535,146.2163954,-90.03295911,159.3136019,80.56014067,174.7726133,-66.55684775
,,,,,,,,167.0430994,368.5337077,158.2400601,-310.708382,139.9898498,305.9307441,111.0042217,-207.4135159,152.8723512,249.5881305,180.7844375,-198.0230356,149.6517258,136.9027841,157.8106499,-100.9884897,170.0490197,88.38551113,191.7345767,-72.81716799
,,,,,,,,174.7726133,374.7940578,174.7726133,-318.5337525,149.8664309,320.0164646,120.6660978,-223.0642568,162.9636537,258.9785214,191.0904451,-210.543676,162.104817,152.553525,168.9754779,-111.9439606,183.1462261,99.3410417,209.1259339,-82.20758865
,,,,,,,,193.0228072,387.3146386,190.0169033,-326.3591229,158.025355,326.276755,129.8985636,-238.7149977,176.9196969,273.0642419,202.4699945,-224.629307,171.9813981,166.6392157,180.5697324,-124.464601,198.6052376,108.7314624,228.2349973,-93.16311923
,,,,,,,,199.8935008,390.4447987,201.8258629,-331.054393,170.0490197,335.6672055,139.7751447,-255.9307889,192.5933971,288.7149828,216.2113162,-241.8451579,179.7108957,177.5947462,188.2992299,-132.2899715,212.7760022,118.121883,245.8410759,-100.9884897
,,,,,,,,216.8554478,404.5304596,219.8613517,-340.4448136,183.3609476,346.6227361,149.6517258,-273.1466397,206.12003,302.8006437,230.5967695,-259.0610684,187.2256882,186.9851669,198.1758274,-143.2454424,225.8731922,129.0774136,249.9205216,-102.5536593
,,,,,,,,229.7379492,412.35583,234.2468378,-346.7051339,194.3110705,354.4481066,158.6694866,-280.9719504,221.3643364,318.4513846,241.5469088,-273.1466397,197.7464173,202.6359078,208.0523921,-152.6359227,241.7616303,140.0329442,,
,,,,,,,,243.2645822,421.7462805,245.1969443,-351.4002845,209.5553768,365.4036073,168.1166412,-287.2322707,237.0380202,334.1021255,249.7058329,-282.53712,208.0523921,216.7215985,217.7142682,-162.0263434,249.9205216,146.2932644,,
,,,,,,,,249.7058329,424.8764407,249.7058329,-354.5305043,221.149615,374.7940578,179.2814855,-293.4925909,249.4911114,346.6227361,,,218.5731212,232.3723096,228.0202758,-172.9819934,,,,
,,,,,,,,,,,,232.3144429,382.6194283,190.2316248,-301.3179614,,,,,228.8791289,246.4580003,237.4674631,-182.3722946,,,,
,,,,,,,,,,,,243.9087138,392.0098191,203.758225,-309.1433318,,,,,239.3998252,260.5436611,249.4911114,-194.8929351,,,,
,,,,,,,,,,,,,,218.5731212,-316.9687023,,,,,249.7058329,276.194402,,,,,,
,,,,,,,,,,,,,,232.0997542,-326.3591229,,,,,,,,,,,,
,,,,,,,,,,,,,,243.9087138,-332.6194432,,,,,,,,,,,,
,,,,,,,,,,,,,,249.7058329,-337.3147132,,,,,,,,,,,,
