(0-4.3) V-C,(0-4.3) C,(0-4.3) V-R,(0-4.3) R,(0-3) V-C,(0-3) C,(0-3) V-R,(0-3) R,(0-2) V-C,(0-2) C,(0-2) V-R,(0-2) R,(0-1) V-C,(0-1) C,(0-1) V-R,(0-1) R,(0-0) V-C,(0-0) C,(0-0) V-R,(0-0) R
2.055483871,76.81872146,1.615023041,-50.22968037,3.964147465,160.4031963,3.088118621,-65.21917647,2.486159072,88.2976084,1.908663594,-88.67853881,2.789585253,93.53561644,1.908663594,-48.55799087,12.4797235,51.743379,12.4797235,51.743379
4.551428571,153.7164384,3.964147465,-113.7538813,6.166451613,218.9123288,6.582439409,-120.830707,4.801024834,183.7511399,4.845069124,-148.8593607,5.43235023,123.6260274,5.43235023,-75.30502283,29.51087558,60.10182648,29.51087558,60.10182648
8.36875576,243.9876712,8.80921659,-210.7118721,10.13059908,279.0931507,10.49275696,-176.4979468,7.39974552,218.2994236,7.634654378,-172.2630137,8.36875576,133.6561644,11.8924424,-92.02191781,60.93041475,66.78858447,60.93041475,66.78858447
13.50746544,304.1684932,13.50746544,-257.5191781,15.56294931,329.2438356,14.54010019,-217.7886978,12.89081848,246.2722659,10.57105991,-182.2931507,12.18608295,140.3429224,20.11437788,-98.7086758,96.60774194,71.80365297,96.60774194,71.80365297
24.22534562,371.0360731,25.10626728,-314.356621,19.08663594,345.9607306,19.70817571,-244.8143787,18.67554096,259.4229444,17.61843318,-193.9949772,28.62995392,153.7164384,29.21723502,-105.3954338,123.6226728,76.81872146,123.6226728,76.81872146
50.06571429,466.3223744,50.06571429,-376.2091324,24.959447,359.3342466,25.01327692,-262.311307,24.7441094,262.7663234,24.81262673,-204.0251142,50.50617512,167.0899543,56.96626728,-115.4255708,150.9312442,80.16210046,150.9312442,80.16210046
75.02516129,524.8315068,75.46562212,-426.3598174,49.77207373,397.783105,49.86506409,-313.18652,49.60567324,285.7799087,49.91889401,-219.0703196,73.85059908,178.7917808,82.51299539,-122.1123288,182.0571429,85.17716895,182.0571429,85.17716895
99.98460829,579.9972603,99.98460829,-474.8388128,75.17198157,422.8584475,77.23235825,-329.1232796,74.89791227,303.8898442,76.1997235,-230.7721461,100.7187097,190.4936073,100.7187097,-127.1273973,215.8258065,91.86392694,215.8258065,91.86392694
124.6504147,606.7442922,127.7336406,-508.2726027,99.83778802,447.93379,102.9259066,-345.0043298,100.1901603,321.9998818,99.54414747,-242.4739726,129.3486636,198.8520548,121.7140092,-128.7990868,241.2257143,98.55068493,241.2257143,98.55068493
149.9035023,630.1479452,153.5740092,-540.0347032,126.2654378,466.3223744,132.2459087,-359.3251093,124.616165,335.1504582,124.797235,-249.1607306,156.2167742,203.8671233,139.9197235,-135.4858447,,,,
175.3034101,651.8799087,174.8629493,-556.7515982,156.0699539,483.0392694,166.0390543,-373.5901794,150.1971429,348.3011367,149.9035023,-255.8474886,185.5808295,215.5689498,174.716129,-142.1726027,,,,
224.3413825,692.0004566,199.9692166,-575.1401826,175.0097696,498.0844749,193.1273953,-386.3506882,175.0587157,359.835733,174.8629493,-264.2059361,210.5402765,225.5990868,199.9692166,-147.1876712,,,,
251.2094931,713.7324201,225.0754839,-595.2004566,198.3541935,514.8013699,224.6790763,-400.6157583,199.7734502,371.3704314,200.2628571,-272.5643836,236.9679263,233.9575342,224.7818433,-150.5310502,,,,
,,,,224.635023,534.8616438,243.1098959,-407.0239694,229.4017713,386.1369879,240.0511521,-284.26621,249.1540092,238.9726027,242.9875576,-157.2178082,,,,
,,,,243.721659,548.2351598,,,245.8799099,392.7680365,,,,,,,,,,
,,,,250.7690323,553.2502283,,,,,,,,,,,,,,
